The MoYu Giza Invitational Cup
Best Single,13.58,Alyssa Murillo,Best AO5,17.38,Bradley Cross,"[16.28, 18.04, 17.83, 15.72, 20.24]"
Rank,First Name,Last Name,Event AVG,Best Event Single,Best Event AO5,Times,Solves,DNFs
36th,Clinton,Buck,22.13,19.92,22.07,"[21.27, 24.5, 23.62, 21.31, 19.92]",5,0
37th,Stacey,Matthews,21.07,17.94,22.11,"['DNF', 20.18, 17.94, 23.32, 22.84]",4,1
38th,Brett,Hill,22.0,19.16,22.14,"[22.93, 24.44, 19.16, 20.84, 22.65]",5,0
39th,Daniel,Mendoza,21.81,20.69,22.2,"[22.08, 20.69, 'DNF', 23.61, 20.9]",4,1
40th,Tracy,Kelley,21.13,17.84,22.23,"[24.82, 19.65, 17.84, 22.22, 'DNF']",4,1
41st,Daria,Buchkovsky,21.6,18.1,22.26,"[21.89, 22.14, 18.1, 23.11, 22.74]",5,0
42nd,Steven,Carpenter,22.07,19.76,22.4,"[21.36, 23.39, 22.55, 19.76, 23.28]",5,0
43rd,Denise,Harrison,22.57,20.63,22.42,"[20.63, 21.97, 21.62, 24.95, 23.66]",5,0
44th,Sheila,Johnson,22.29,20.65,22.5,"[21.54, 20.65, 23.29, 22.9, 23.07]",5,0
45th,Ryan,Stoyko,22.69,20.78,22.79,"[23.47, 22.93, 20.78, 21.96, 24.35]",5,0
46th,Peter,King,22.7,21.12,22.96,"[23.25, 23.49, 21.12, 23.31, 22.33]",5,0
47th,Taylor,Roach,23.25,20.42,23.08,"[24.64, 23.18, 26.62, 21.41, 20.42]",5,0
48th,Tammy,Powers,23.15,22.37,23.1,"[22.37, 22.46, 24.08, 23.48, 23.37]",5,0
49th,Sarah,Underwood,23.02,21.31,23.21,"[21.31, 23.35, 23.19, 23.08, 24.19]",5,0
50th,Henry,Hunter,22.82,20.03,23.75,"[20.9, 25.57, 24.78, 20.03, 'DNF']",4,1
