Bangkok Open
Best Single,13.55,Tanya Lee,Best AO5,16.09,Tanya Lee,"[17.26, 15.64, 19.9, 15.36, 14.59]"
Rank,First Name,Last Name,Event AVG,Best Event Single,Best Event AO5,Times,Solves,DNFs
36th,Trevor,Benson,21.67,16.03,20.38,"[22.72, 21.53, 19.96, 19.66, 18.77]",39,1
37th,Tiffany,Owens,22.6,19.96,20.92,"[22.62, 20.18, 22.56, 19.96, 20.03]",18,2
38th,Terrance,Fowler,22.0,18.67,19.96,"[18.84, 20.44, 24.93, 19.02, 20.41]",19,1
39th,Mark,Williams,21.84,16.32,20.67,"[20.87, 23.38, 26.46, 16.42, 17.75]",24,1
40th,Elizabeth,Williams,21.52,16.67,20.14,"[20.43, 19.37, 'DNF', 20.59, 19.4]",34,1
41st,Robert,Andrews,20.64,16.86,20.01,"[17.06, 20.04, 19.84, 20.87, 20.16]",33,2
42nd,Brittany,Carroll,22.62,18.89,21.59,"[21.43, 21.42, 21.92, 25.02, 21.12]",29,1
43rd,George,Wright,21.0,18.17,20.43,"[21.51, 20.12, 18.49, 21.69, 19.66]",34,1
44th,Julia,Lamb,21.54,18.25,20.43,"[23.88, 21.58, 18.59, 21.12, 18.25]",32,3
45th,Angela,Jordan,23.26,18.95,22.23,"[22.58, 22.73, 21.37, 20.08, 26.36]",25,0
46th,Daniel,Mendoza,21.46,17.71,20.49,"[22.36, 18.6, 23.41, 18.8, 20.32]",47,3
47th,Chad,Thomas,21.62,17.79,19.56,"[20.12, 19.56, 23.7, 17.79, 19.0]",35,0
48th,Lonnie,Green,23.54,14.38,20.53,"[21.74, 22.39, 14.38, 17.46, 27.79]",20,0
49th,Duane,Smith,22.11,18.7,21.09,"[21.45, 21.96, 23.48, 19.86, 18.7]",29,1
50th,Lynn,Cohen,22.58,19.68,21.9,"[21.75, 19.98, 22.46, 25.99, 21.5]",19,1
51st,Sheila,Johnson,22.27,18.37,21.37,"[25.76, 24.41, 20.65, 19.04, 18.37]",20,0
52nd,Tiffany,Dixon,20.94,15.23,20.11,"[19.59, 15.23, 20.51, 20.23, 21.02]",38,2
53rd,Douglas,Robinson,23.29,20.04,21.73,"[20.72, 21.97, 22.49, 24.25, 20.05]",20,0
54th,Bill,Meadows,21.12,14.36,19.78,"[20.69, 23.13, 17.56, 21.04, 17.61]",40,5
55th,Anna,Charles,23.3,19.47,22.21,"[19.47, 21.53, 21.45, 23.66, 24.58]",18,2
56th,James,Howard,22.03,19.05,20.67,"[19.09, 20.65, 22.28, 19.05, 22.82]",35,0
57th,David,Nichols,22.78,19.71,21.36,"[22.53, 20.58, 19.71, 23.65, 20.97]",19,1
58th,Richard,Austin,23.37,19.58,22.04,"[22.62, 23.52, 19.7, 19.97, 25.93]",20,0
59th,Brianna,Gonzalez,23.12,17.91,21.83,"[20.79, 25.74, 23.84, 20.31, 20.87]",20,0
60th,Rebecca,Brown,23.26,19.45,22.02,"[22.67, 19.45, 21.14, 23.25, 22.24]",19,1
61st,Scott,Bryant,21.47,18.72,20.47,"[20.69, 19.18, 21.69, 19.15, 21.54]",20,0
62nd,Conor,Evans,21.48,13.96,20.19,"[13.96, 22.07, 25.68, 18.95, 19.55]",26,4
63rd,Devon,Fisher,23.19,20.59,21.91,"[20.59, 21.07, 20.86, 23.85, 23.79]",19,1
64th,Brittany,Rice,23.53,17.93,21.9,"[22.06, 24.31, 19.33, 17.93, 28.14]",20,0
65th,Sarah,Underwood,22.25,17.18,21.58,"[20.63, 21.89, 20.19, 22.53, 22.21]",20,0
66th,Cynthia,Silva,22.31,17.86,22.32,"[23.48, 21.71, 21.78, 24.59, 17.86]",10,0
67th,Michelle,Evans,23.65,21.36,22.39,"[21.36, 22.68, 23.13, 23.53, 21.37]",9,1
68th,Jason,Martin,22.17,18.72,22.34,"[20.95, 21.82, 22.87, 23.02, 22.34]",10,0
69th,Andrew,Bradford,21.41,18.56,21.0,"[20.35, 18.56, 19.71, 22.94, 23.67]",18,2
70th,Tracy,Kelley,20.38,16.09,19.42,"[18.65, 20.28, 20.85, 19.32, 18.08]",28,2
71st,Donald,Dixon,21.44,18.87,20.83,"[21.53, 21.32, 19.97, 20.15, 21.01]",20,0
72nd,Marcus,Nguyen,23.07,20.87,22.45,"[23.29, 22.33, 23.92, 21.17, 21.73]",10,0
73rd,Robin,Wells,22.03,19.09,21.1,"[20.89, 20.14, 20.68, 21.73, 22.38]",29,1
74th,Christine,Hicks,22.42,18.72,21.88,"[23.04, 25.87, 20.29, 22.32, 20.03]",25,0
75th,Jennifer,Bass,23.64,22.12,22.54,"[23.02, 22.28, 22.12, 22.32, 26.71]",10,0
76th,Christine,Moran,23.72,21.33,22.55,"[22.18, 23.17, 21.33, 24.32, 22.31]",10,0
77th,James,Horne,22.18,18.66,22.52,"[22.92, 21.7, 22.95, 23.97, 18.97]",10,0
78th,Alexis,Valentine,21.8,17.75,20.17,"[19.42, 17.75, 18.42, 22.67, 24.07]",35,0
79th,Krystal,Kane,23.44,19.33,22.13,"[19.56, 25.78, 22.54, 24.3, 19.33]",24,1
80th,Julie,Barr,23.53,21.51,22.59,"[23.44, 21.84, 23.44, 22.49, 21.51]",10,0
81st,Anita,Buchanan,22.38,18.28,22.42,"[20.38, 24.39, 22.98, 18.28, 23.91]",10,0
82nd,Nicole,Young,22.64,18.78,22.62,"[18.78, 23.02, 24.08, 22.07, 22.76]",10,0
83rd,Michele,Cordova,21.91,16.79,21.26,"[23.89, 19.06, 23.15, 21.03, 19.61]",25,0
84th,Elizabeth,Taylor,23.01,19.96,22.65,"[22.0, 23.87, 21.56, 22.08, 24.5]",10,0
85th,David,Hamilton,22.95,21.23,22.68,"[22.85, 24.31, 21.64, 22.21, 22.98]",9,1
86th,Kimberly,Wade,23.15,20.06,22.72,"[23.89, 24.68, 22.8, 20.06, 21.46]",10,0
87th,Martha,Smith,22.22,17.63,22.31,"[24.8, 20.57, 21.09, 22.82, 23.01]",10,0
88th,Heather,Ali,22.57,18.98,22.75,"[20.51, 23.52, 23.19, 24.32, 21.54]",10,0
89th,James,Wade,22.66,19.84,22.54,"[24.79, 22.45, 19.84, 24.79, 20.39]",10,0
90th,John,Carter,23.4,19.17,22.79,"[25.86, 21.85, 22.57, 23.76, 22.05]",10,0
91st,Amanda,Scott,23.85,21.8,22.81,"[23.38, 21.83, 25.46, 21.91, 23.13]",9,1
92nd,David,Garcia,24.08,21.29,22.81,"[28.31, 22.73, 21.29, 22.03, 23.68]",10,0
93rd,Justin,Santana,23.98,18.29,22.81,"[23.3, 21.33, 23.81, 24.53, 18.29]",10,0
94th,Paul,Norris,23.96,20.65,22.82,"[25.43, 21.08, 21.95, 20.65, 26.05]",10,0
95th,James,Gamble,22.78,20.73,22.53,"[25.54, 22.77, 20.73, 20.83, 23.98]",10,0
96th,Patricia,Ross,23.38,19.01,22.86,"[21.97, 24.53, 19.01, 24.57, 22.09]",10,0
97th,Amanda,Davis,21.81,19.86,21.01,"[20.12, 22.97, 21.03, 19.86, 21.88]",29,1
98th,Stacey,Matthews,22.86,18.45,21.87,"[21.2, 27.71, 21.24, 23.18, 20.48]",19,1
99th,Sarah,Mendoza,23.12,19.1,22.94,"[23.67, 24.52, 23.66, 21.48, 19.1]",10,0
100th,Regina,Erickson,22.89,18.42,21.83,"[23.63, 19.81, 20.29, 22.46, 22.73]",30,0
101st,Brittney,Gonzalez,23.45,21.36,22.96,"[24.64, 21.36, 22.11, 22.13, 26.14]",10,0
102nd,Michelle,Hart,20.72,16.25,20.26,"[25.61, 20.89, 20.64, 18.71, 19.26]",24,1
103rd,Jose,Campbell,24.03,21.54,22.97,"[21.54, 22.78, 24.19, 21.93, 30.06]",10,0
104th,Marissa,Scott,22.99,18.46,22.21,"[22.77, 20.96, 22.91, 25.19, 20.57]",20,0
105th,Justin,Thomas,23.0,18.92,21.29,"[21.49, 24.59, 19.61, 18.92, 22.78]",20,0
106th,Alexander,Stewart,22.65,18.76,22.03,"[25.29, 22.1, 22.64, 21.35, 20.58]",20,0
107th,Kelly,Knight,23.83,21.4,23.07,"[23.67, 21.4, 23.12, 23.92, 22.43]",10,0
108th,Roberto,Parsons,23.64,20.83,23.08,"[22.25, 23.12, 20.83, 24.34, 23.87]",10,0
109th,James,Cordova,23.51,21.2,23.11,"[23.22, 22.39, 23.05, 23.07, 24.98]",10,0
110th,Paul,Potter,23.42,22.13,23.15,"[23.39, 22.13, 23.09, 23.11, 23.25]",10,0
111th,Danielle,Knapp,23.55,20.04,21.73,"[21.2, 25.12, 21.81, 22.18, 21.14]",23,2
112th,Julia,Stone,23.29,20.6,23.18,"[22.92, 22.64, 26.0, 21.33, 23.98]",10,0
113th,Heather,Soto,22.85,19.68,22.6,"[20.52, 23.34, 24.4, 19.68, 23.95]",10,0
114th,Justin,Johnson,23.23,21.71,23.11,"[22.64, 24.44, 22.69, 22.38, 24.0]",10,0
115th,Kimberly,Williams,22.91,18.35,21.57,"[22.52, 19.84, 22.07, 24.63, 20.12]",20,0
116th,Beth,Barry,24.81,22.19,23.22,"[22.93, 22.19, 22.96, 23.78, 27.83]",10,0
117th,Jeremy,Fisher,22.91,21.76,22.67,"[21.94, 22.06, 22.47, 23.69, 23.47]",10,0
118th,Kayla,Moore,22.98,19.31,22.6,"[22.66, 26.44, 19.31, 22.25, 22.9]",10,0
119th,David,Mcgee,24.41,22.76,23.31,"[23.71, 22.86, 22.86, 23.37, 27.42]",10,0
120th,Stephanie,Robinson,24.15,20.47,23.42,"[22.44, 24.16, 23.66, 28.38, 20.47]",10,0
121st,Michelle,Boyle,23.64,20.21,23.5,"[26.36, 20.21, 20.57, 24.2, 25.73]",10,0
122nd,Joshua,Shields,25.08,22.56,23.53,"[23.42, 22.63, 24.55, 22.56, 26.67]",10,0
123rd,Kirsten,Mendoza,23.37,19.52,23.55,"[19.52, 23.5, 25.25, 22.54, 24.62]",10,0
124th,Christopher,Wu,23.88,20.69,23.46,"[22.88, 23.6, 26.54, 22.22, 23.9]",10,0
125th,Sonya,Michael,23.57,21.5,23.58,"[21.5, 24.4, 23.48, 23.72, 23.53]",10,0
126th,Haley,Ryan,24.1,20.67,23.62,"[22.32, 24.23, 24.58, 22.99, 23.63]",10,0
127th,Wendy,Herrera,23.15,18.94,22.82,"[26.19, 21.61, 20.72, 23.43, 23.42]",10,0
128th,James,Miller,23.67,20.82,22.91,"[20.82, 26.93, 21.89, 23.05, 23.79]",10,0
129th,Andre,Collins,24.79,20.32,23.65,"[27.18, 24.47, 23.06, 22.27, 23.43]",10,0
130th,Whitney,Nicholson,22.5,18.18,21.09,"[24.02, 22.88, 21.14, 18.48, 19.26]",20,0
131st,Jennifer,Fuller,24.79,21.91,23.67,"[21.91, 24.86, 22.38, 24.65, 23.97]",10,0
132nd,Jason,Webster,24.66,22.81,23.67,"[24.32, 24.97, 22.89, 22.81, 23.79]",10,0
133rd,Kyle,Alvarez,25.12,22.61,23.68,"[23.64, 22.61, 27.07, 23.0, 24.41]",10,0
134th,Jennifer,Brown,23.73,21.46,23.7,"[24.14, 23.52, 21.46, 23.68, 23.89]",10,0
135th,George,Mcguire,23.79,20.97,23.7,"[26.28, 23.62, 23.09, 24.4, 21.52]",10,0
136th,Gabrielle,Brock,22.97,19.83,23.43,"[23.98, 19.95, 24.79, 25.5, 21.53]",9,1
137th,Sean,Moore,24.23,21.8,23.71,"[26.83, 22.97, 24.43, 21.8, 23.74]",9,1
138th,Aaron,Hall,23.6,20.94,23.34,"[22.24, 22.12, 21.17, 27.37, 25.66]",10,0
139th,Tracy,Snyder,23.78,20.13,23.73,"[24.7, 23.26, 26.85, 23.24, 20.13]",10,0
140th,Thomas,Gardner,24.02,21.94,23.75,"[24.42, 22.86, 24.65, 23.22, 23.61]",10,0
141st,Cheryl,Weaver,23.81,22.54,23.53,"[25.54, 23.97, 23.97, 22.54, 22.64]",10,0
142nd,Steven,Martinez,24.18,22.73,23.82,"[23.2, 23.59, 24.56, 25.99, 23.31]",10,0
143rd,Mariah,Bowers,24.07,20.67,23.83,"[25.96, 23.56, 21.89, 26.59, 21.96]",10,0
144th,Felicia,Martinez,23.89,21.79,23.85,"[24.53, 24.83, 24.95, 22.19, 21.91]",10,0
145th,Donald,Levy,23.74,21.19,23.12,"[27.25, 22.2, 23.31, 23.84, 21.43]",10,0
146th,Kelly,Morris,23.14,21.35,22.38,"[21.65, 21.65, 22.51, 22.98, 24.08]",10,0
147th,Austin,Carpenter,23.97,21.23,23.81,"[24.18, 22.56, 22.96, 24.28, 26.68]",10,0
148th,Jennifer,Chung,24.07,22.92,23.9,"[23.7, 23.07, 25.74, 24.92, 22.92]",9,1
149th,Stacy,Roberson,22.61,19.14,21.4,"[20.65, 21.26, 22.28, 23.51, 19.14]",20,0
150th,Keith,Henderson,24.07,21.61,23.62,"[25.27, 21.61, 23.17, 26.93, 22.42]",10,0
151st,Daniel,Espinoza,24.78,21.74,23.98,"[23.14, 26.23, 28.12, 21.74, 22.57]",10,0
152nd,Christopher,Garcia,24.58,22.36,23.98,"[23.75, 24.82, 23.38, 22.36, 26.74]",10,0
153rd,Ryan,Clark,24.4,20.55,23.98,"[23.83, 24.22, 22.79, 23.88, 25.67]",10,0
154th,Chelsea,Castillo,24.44,22.21,23.99,"[25.11, 23.3, 23.19, 23.57, 27.11]",10,0
155th,Cynthia,Hartman,24.7,22.1,23.99,"[24.22, 23.38, 24.6, 22.1, 24.36]",10,0
156th,Alexandria,Perez,22.91,15.86,22.34,"[26.12, 20.93, 22.91, 23.18, 15.86]",10,0
157th,Heidi,Grant,24.34,21.55,24.02,"[27.36, 22.44, 23.96, 21.55, 25.67]",10,0
158th,Adam,Baker,24.44,23.29,24.02,"[25.28, 24.43, 23.73, 23.61, 23.89]",10,0
159th,Matthew,Mendoza,24.45,21.35,24.03,"[25.29, 23.79, 25.0, 21.35, 23.31]",10,0
160th,Brooke,Hunter,23.56,19.46,23.44,"[24.24, 19.46, 25.13, 23.52, 22.57]",10,0
161st,Edward,Johnson,24.0,21.79,22.8,"[23.47, 21.79, 26.76, 21.88, 23.06]",10,0
162nd,Michael,Woodward,23.95,21.37,23.85,"[24.52, 25.92, 21.53, 23.22, 23.8]",10,0
163rd,Kimberly,Graves,25.32,23.75,24.06,"[23.76, 24.65, 26.05, 23.78, 23.75]",10,0
164th,James,Martin,24.01,21.66,24.07,"[21.66, 25.35, 23.91, 22.95, 26.45]",9,1
165th,Matthew,Jefferson,24.42,22.18,24.09,"[25.31, 22.67, 24.85, 23.57, 23.85]",10,0
166th,Isaiah,Norton,24.08,20.61,24.1,"[20.61, 26.71, 25.15, 24.42, 22.74]",10,0
167th,Jared,Preston,23.65,20.3,22.94,"[21.95, 20.3, 22.89, 23.98, 26.41]",10,0
168th,Elizabeth,Strong,24.22,21.46,24.14,"[27.92, 23.35, 22.72, 21.46, 26.34]",10,0
169th,Michael,Davis,23.97,21.32,23.56,"[26.88, 22.65, 24.91, 23.11, 22.29]",10,0
170th,Chad,Fisher,25.0,22.32,24.15,"[24.6, 22.32, 26.13, 23.45, 24.41]",10,0
171st,Kayla,James,23.41,20.82,22.46,"[22.76, 23.26, 20.82, 24.75, 21.35]",10,0
172nd,Anthony,Smith,24.2,21.82,24.16,"[25.65, 24.22, 22.38, 22.61, 26.84]",10,0
173rd,Jared,Hahn,23.59,20.02,23.47,"[26.47, 23.33, 20.98, 21.39, 25.7]",10,0
174th,Emily,Kim,25.02,21.39,24.18,"[24.49, 23.61, 26.72, 24.43, 23.52]",10,0
175th,Stephen,Moore,23.69,20.7,23.64,"[23.42, 20.7, 23.39, 24.1, 24.55]",10,0
176th,Bryan,Bishop,23.82,22.48,23.4,"[23.45, 22.48, 23.4, 23.36, 23.57]",10,0
177th,Anita,Butler,24.83,23.73,24.25,"[23.92, 25.27, 23.83, 24.68, 24.14]",10,0
178th,Nicole,Thompson,24.27,19.11,24.26,"[26.72, 20.31, 25.76, 'DNF', 19.11]",9,1
179th,Katelyn,Douglas,24.1,19.68,23.86,"[22.25, 26.82, 23.04, 19.68, 26.3]",10,0
180th,Jeffrey,Turner,24.19,23.02,23.97,"[23.3, 24.03, 23.02, 25.06, 24.57]",10,0
181st,Cody,Jenkins,24.23,19.58,23.74,"[23.65, 24.14, 23.12, 28.83, 23.42]",10,0
182nd,Gwendolyn,Ford,24.24,22.69,24.3,"[25.27, 25.5, 22.72, 24.17, 23.47]",10,0
183rd,John,Flores,24.26,20.77,24.32,"[24.65, 24.41, 25.41, 23.91, 20.77]",10,0
184th,Ian,Campbell,24.42,21.64,24.32,"[27.06, 26.92, 22.33, 23.71, 21.75]",10,0
185th,Karen,Hunter,23.3,20.45,22.96,"[20.45, 20.48, 26.48, 21.92, 'DNF']",9,1
186th,Cory,Warner,24.89,23.04,24.34,"[23.65, 25.19, 23.04, 24.19, 27.52]",10,0
187th,Christina,Smith,24.15,21.95,23.33,"[23.12, 28.31, 22.8, 23.27, 23.59]",10,0
188th,Christina,Lee,23.63,18.76,23.27,"[22.31, 26.71, 24.01, 23.5, 18.76]",10,0
189th,Jordan,Chavez,23.61,19.25,23.82,"[24.32, 23.27, 26.25, 19.32, 23.86]",10,0
190th,Jennifer,Horne,24.74,23.0,24.17,"[23.53, 24.34, 23.72, 24.45, 26.1]",10,0
191st,Kristen,Williams,24.54,21.72,24.4,"[25.95, 25.16, 22.1, 21.72, 26.15]",10,0
192nd,Vanessa,Williams,24.78,23.75,24.4,"[24.28, 24.18, 24.1, 25.35, 24.75]",10,0
193rd,Keith,Mosley,23.71,22.25,23.25,"[22.89, 23.91, 22.25, 23.15, 23.72]",10,0
194th,Melissa,Mason,24.27,22.32,23.93,"[28.11, 23.32, 24.78, 22.95, 23.69]",9,1
195th,Carol,Riley,22.74,18.69,22.38,"[23.95, 23.55, 18.69, 21.51, 22.08]",9,1
196th,Gregory,Hood,23.62,18.72,22.99,"[18.72, 22.18, 24.68, 22.1, 26.75]",10,0
197th,Kenneth,Barton,24.17,20.73,24.21,"[24.84, 20.73, 24.38, 26.5, 23.41]",10,0
198th,Taylor,Roach,22.77,18.52,22.35,"[18.52, 22.91, 22.02, 25.04, 22.13]",9,1
199th,Christina,Marshall,24.78,22.66,24.48,"[22.66, 24.4, 26.69, 24.12, 24.93]",10,0
200th,Charles,Wright,24.24,20.89,24.11,"[24.7, 20.89, 23.93, 23.69, 25.56]",10,0
201st,Carlos,Thompson,23.29,19.9,21.99,"[19.9, 21.31, 24.23, 21.08, 23.58]",18,2
202nd,Derek,Butler,25.2,22.08,24.5,"[24.2, 25.78, 25.02, 24.29, 23.82]",10,0
203rd,Ashley,Hamilton,24.31,22.37,23.95,"[25.04, 22.96, 23.7, 23.12, 25.93]",10,0
204th,Kristi,Reeves,24.12,19.26,24.54,"[24.42, 24.99, 24.2, 21.39, 27.42]",10,0
205th,Rachel,Ramsey,24.07,19.13,24.56,"[23.71, 24.34, 19.13, 'DNF', 25.63]",9,1
206th,Debra,Martin,25.01,21.78,24.56,"[24.68, 23.82, 21.78, 25.18, 26.01]",10,0
207th,Matthew,Gutierrez,25.86,23.63,24.57,"[26.43, 24.2, 25.89, 23.63, 23.63]",10,0
208th,Paige,Johnson,24.85,23.59,24.59,"[24.16, 25.79, 23.92, 25.7, 23.83]",10,0
209th,Samantha,Smith,24.26,21.85,23.69,"[21.96, 24.82, 24.46, 21.85, 24.66]",10,0
210th,Wyatt,Gibson,24.36,21.26,24.12,"[25.44, 23.94, 22.98, 26.3, 22.91]",10,0
211th,Bonnie,Barrett,25.59,22.47,24.64,"[24.54, 22.47, 26.0, 23.38, 31.23]",10,0
212th,Regina,Cook,24.28,20.61,24.45,"[25.05, 26.8, 20.61, 25.04, 23.26]",9,1
213th,Anthony,Elliott,24.89,21.73,24.72,"[25.22, 24.87, 24.08, 26.06, 23.89]",10,0
214th,Justin,Santos,24.28,19.38,21.68,"[21.91, 22.36, 25.43, 20.76, 19.38]",19,1
215th,Patricia,Tyler,25.32,22.76,24.75,"[22.76, 24.15, 24.06, 26.05, 27.08]",10,0
216th,Joseph,Harmon,24.39,22.45,23.67,"[23.98, 22.84, 23.71, 23.33, 25.71]",10,0
217th,Carol,Cook,26.41,23.47,24.76,"[25.78, 23.47, 23.72, 25.64, 24.91]",10,0
218th,Eric,Burgess,23.95,20.09,23.36,"[23.43, 23.14, 20.09, 23.51, 25.31]",10,0
219th,Robert,Sims,23.46,21.7,22.63,"[23.2, 21.7, 22.63, 24.34, 22.05]",9,1
220th,Sarah,Hunt,24.18,20.21,24.24,"[20.21, 22.78, 25.28, 25.43, 24.66]",10,0
221st,Kathleen,Nguyen,24.35,22.36,24.33,"[25.39, 'DNF', 22.36, 22.48, 25.11]",9,1
222nd,Randall,Campbell,25.04,23.05,24.86,"[24.59, 24.1, 26.75, 25.54, 24.45]",10,0
223rd,Kimberly,Roberts,25.62,22.26,24.86,"[24.92, 23.26, 22.84, 28.39, 26.39]",10,0
224th,April,Williams,25.03,22.43,24.87,"[26.6, 22.43, 26.03, 25.46, 23.13]",10,0
225th,Michael,Thompson,25.18,22.41,24.9,"[23.08, 24.52, 27.1, 22.41, 27.1]",9,1
226th,Jennifer,Lewis,24.69,22.27,24.83,"[26.17, 22.27, 24.03, 26.14, 24.31]",10,0
227th,Brian,Daniel,25.44,22.26,24.93,"[26.0, 24.15, 22.26, 28.37, 24.65]",10,0
228th,Tiffany,Perez,24.96,23.68,24.24,"[24.4, 27.21, 23.95, 24.38, 23.68]",10,0
229th,Jeff,Miller,25.62,22.3,24.96,"[27.34, 26.02, 24.3, 24.57, 22.3]",10,0
230th,Caitlin,Nolan,23.73,19.41,22.11,"[22.71, 19.41, 21.94, 21.68, 'DNF']",18,2
231st,Madison,Harris,26.21,23.66,24.96,"[24.19, 27.27, 23.66, 26.33, 24.36]",10,0
232nd,Taylor,Martinez,25.84,21.62,24.98,"[25.51, 23.29, 26.15, 21.62, 29.29]",9,1
233rd,Maxwell,Miller,24.87,21.52,24.98,"[26.91, 25.42, 24.4, 23.86, 25.12]",10,0
234th,Kyle,Bailey,23.55,21.39,23.2,"[23.82, 24.08, 21.92, 22.02, 23.75]",9,1
235th,Susan,Cox,24.16,20.55,23.64,"[20.59, 25.62, 25.69, 20.55, 24.7]",10,0
236th,Daniel,Wade,24.85,23.14,25.01,"[25.79, 23.14, 26.06, 24.24, 24.99]",9,1
237th,Kimberly,Wells,24.72,22.39,24.57,"[26.51, 24.59, 24.99, 24.14, 23.7]",10,0
238th,John,Oconnor,24.78,21.35,25.03,"[23.42, 26.51, 25.16, 'DNF', 22.6]",9,1
239th,Gary,Le,25.09,22.69,24.87,"[24.62, 27.2, 25.17, 24.83, 23.91]",10,0
240th,Heather,Manning,24.34,19.75,24.49,"[21.19, 24.08, 25.63, 26.57, 23.75]",10,0
241st,Steve,Moore,25.84,24.05,25.07,"[24.05, 25.86, 24.97, 24.87, 25.37]",9,1
242nd,Amy,Allen,25.92,21.63,25.08,"[24.09, 29.94, 24.39, 21.63, 26.77]",10,0
243rd,Brittany,Duffy,24.72,20.82,23.91,"[25.05, 23.93, 27.51, 20.82, 22.76]",10,0
244th,Shelby,Contreras,24.28,22.47,24.18,"[22.47, 23.11, 'DNF', 25.09, 24.33]",8,2
245th,Stacy,Dodson,25.48,22.46,25.12,"[26.67, 29.33, 24.41, 24.29, 22.46]",9,1
246th,Brittany,Obrien,25.37,21.69,24.85,"[26.19, 25.19, 28.26, 22.08, 23.17]",10,0
247th,Barry,Lewis,24.78,22.34,25.2,"[23.63, 25.38, 22.34, 'DNF', 26.58]",8,2
248th,Samuel,Moore,25.74,22.91,25.2,"[26.36, 26.36, 24.44, 23.07, 24.8]",10,0
