The Nagoya Big Double
Best Single,12.37,Conor Evans,Best AO5,17.28,Antonio Valencia,"[16.97, 'DNF', 16.6, 17.17, 17.69]"
Rank,First Name,Last Name,Event AVG,Best Event Single,Best Event AO5,Times,Solves,DNFs
35th,Sarah,Hunt,23.63,18.98,22.18,"[24.5, 18.98, 20.98, 21.07, 24.76]",39,1
36th,Michelle,Hart,21.61,16.18,19.77,"[22.76, 16.52, 20.05, 22.27, 16.99]",83,2
37th,Julie,Barr,23.9,20.01,22.64,"[26.15, 21.68, 20.01, 24.4, 21.85]",40,0
38th,Allen,Cook,22.66,18.85,20.56,"[20.7, 20.76, 18.85, 20.22, 23.24]",54,1
39th,Alexandria,Perez,22.25,17.12,20.24,"[22.92, 17.63, 22.15, 20.94, 17.12]",55,0
40th,Julia,Lamb,21.58,16.19,20.32,"[18.39, 21.31, 20.35, 24.88, 19.3]",53,2
41st,Brooke,Hunter,22.62,17.01,20.67,"[24.22, 20.68, 23.03, 17.01, 18.29]",44,1
42nd,Ryan,Stoyko,21.48,16.06,18.46,"[18.7, 17.89, 18.8, 23.76, 17.47]",68,2
43rd,Eric,Graham,20.78,16.57,19.14,"[24.21, 18.91, 18.27, 19.69, 18.81]",70,0
44th,Christopher,Wu,23.76,17.39,22.53,"[22.43, 22.51, 20.57, 22.66, 24.99]",33,2
45th,Donald,Dixon,21.68,17.43,20.62,"[20.87, 21.01, 19.99, 18.89, 20.99]",70,0
46th,Eric,Meadows,23.23,19.77,22.11,"[22.58, 19.77, 23.16, 23.79, 20.6]",38,2
47th,Kayla,Johnson,21.48,16.11,20.14,"[18.8, 18.13, 17.57, 24.1, 23.48]",74,1
48th,Emerson,Tichenor,22.71,19.43,21.23,"[20.76, 26.09, 21.97, 20.97, 20.57]",25,0
49th,Duane,Smith,22.67,18.46,21.2,"[19.95, 20.42, 20.72, 25.17, 22.46]",54,1
50th,Sean,Moore,23.63,19.68,21.83,"[21.27, 22.2, 19.68, 22.02, 23.78]",35,0
51st,Clinton,Buck,21.79,18.16,19.93,"[19.84, 22.35, 20.14, 18.98, 19.8]",54,1
52nd,Michele,Cordova,22.66,20.24,21.63,"[26.11, 22.01, 21.75, 21.13, 20.61]",40,0
53rd,Julia,Stone,22.95,18.91,21.49,"[20.86, 21.56, 21.63, 22.97, 21.27]",40,0
54th,Karen,Castro,22.15,15.55,20.53,"[24.09, 21.06, 19.56, 20.77, 19.76]",55,0
55th,Timothy,Mcconnell,21.92,17.95,20.58,"[19.54, 20.3, 22.58, 21.79, 19.66]",38,2
56th,Whitney,Nicholson,23.26,19.47,22.34,"[22.44, 20.42, 21.52, 26.36, 23.06]",29,1
57th,Chad,Thomas,22.63,19.53,21.59,"[19.53, 23.45, 21.25, 20.08, 24.04]",35,0
58th,Henry,Hunter,21.63,16.83,19.39,"[21.8, 17.6, 22.03, 18.74, 17.64]",45,5
59th,Steven,Carpenter,21.57,18.31,19.93,"[21.1, 19.46, 19.22, 18.36, 22.39]",55,0
60th,Martha,Smith,23.32,17.48,22.08,"[21.8, 22.43, 22.02, 24.36, 20.8]",30,0
61st,Kelly,Morris,23.17,20.52,21.72,"[21.79, 20.76, 21.11, 22.26, 24.12]",55,0
62nd,Christine,Hicks,23.02,18.86,22.12,"[24.87, 19.91, 19.72, 22.79, 23.65]",35,0
63rd,James,Martin,23.95,19.97,23.18,"[21.52, 23.66, 20.4, 24.59, 24.37]",35,0
64th,Kimberly,Williams,21.97,17.83,19.45,"[17.98, 18.96, 22.98, 18.48, 20.9]",45,0
65th,Maria,Turner,22.42,17.86,21.76,"[22.87, 22.25, 21.62, 20.72, 21.4]",42,3
66th,Victor,Francis,23.4,19.8,22.12,"[19.8, 23.19, 21.25, 24.68, 21.93]",35,0
67th,Jennifer,Bass,23.54,20.46,22.53,"[25.64, 20.46, 21.2, 23.24, 23.16]",29,1
68th,Cory,Warner,24.22,20.27,22.63,"[20.63, 23.94, 21.88, 27.24, 22.07]",30,0
69th,Isaiah,Norton,24.03,21.18,23.15,"[23.64, 22.64, 23.35, 23.47, 22.4]",30,0
70th,Nathaniel,White,22.13,17.52,20.94,"[19.59, 23.27, 23.34, 17.52, 19.96]",39,1
71st,Justin,Santana,23.84,18.94,22.41,"[24.12, 21.45, 21.1, 26.23, 21.65]",40,0
72nd,Aaron,Hall,23.14,18.03,21.7,"[21.88, 23.69, 22.29, 20.92, 18.03]",53,2
73rd,Denise,Diaz,22.53,18.13,20.84,"[19.89, 20.28, 21.84, 20.41, 23.79]",63,2
74th,Tiffany,Dixon,22.19,18.23,21.51,"[22.28, 19.55, 27.56, 22.69, 19.21]",50,0
75th,Cheryl,Weaver,22.91,18.79,22.31,"[21.66, 24.18, 20.84, 22.67, 22.6]",25,0
76th,Tracy,Snyder,22.82,18.5,20.73,"[19.22, 20.8, 19.22, 24.03, 22.17]",38,2
77th,Alexis,Valentine,22.23,16.06,20.89,"[22.17, 20.25, 20.25, 25.68, 16.06]",50,0
78th,Suzanne,Weiss,22.92,20.22,22.04,"[23.81, 20.22, 20.77, 22.94, 22.42]",35,0
79th,Denise,Harrison,21.91,17.26,20.21,"[19.77, 19.98, 22.29, 20.87, 19.48]",44,1
80th,Daria,Buchkovsky,21.06,14.51,19.53,"[20.49, 20.95, 21.3, 17.15, 15.27]",58,2
81st,Kayla,Moore,23.24,19.93,22.14,"[22.56, 21.19, 22.68, 24.38, 19.93]",25,0
82nd,Robin,Wells,22.77,16.22,20.68,"[17.98, 21.08, 20.34, 20.62, 'DNF']",49,1
83rd,Jeremy,Fisher,22.79,20.94,22.63,"[22.67, 21.86, 24.06, 20.97, 23.36]",24,1
84th,Tony,Bell,23.79,17.64,23.16,"[23.58, 22.55, 23.72, 23.34, 21.15]",30,0
85th,Jennifer,Chung,23.7,20.4,23.35,"[20.4, 26.8, 23.3, 24.66, 22.08]",29,1
86th,Karen,Hunter,23.39,17.8,22.65,"[20.96, 30.08, 24.01, 22.98, 20.92]",30,0
87th,Brittany,Carroll,22.6,18.59,21.31,"[19.86, 21.85, 25.02, 20.82, 21.27]",24,1
88th,Caitlin,Nolan,23.57,19.01,22.08,"[22.1, 24.67, 20.72, 20.72, 23.42]",37,3
89th,Tiffany,Owens,23.09,19.51,21.67,"[21.65, 21.64, 20.63, 24.09, 21.71]",40,0
90th,Christopher,Kim,22.29,17.91,21.04,"[26.3, 19.9, 21.19, 20.89, 21.05]",44,1
91st,James,Gamble,23.36,19.89,22.36,"[20.62, 20.67, 20.63, 25.88, 25.78]",29,1
92nd,Eric,Miller,23.27,18.35,21.66,"[20.82, 22.06, 20.98, 22.66, 21.94]",44,1
93rd,Brittney,Gonzalez,23.49,20.04,22.39,"[22.83, 20.43, 24.96, 23.55, 20.79]",29,1
94th,Anita,Buchanan,22.73,20.19,21.77,"[21.65, 23.84, 20.29, 20.27, 23.38]",24,1
95th,Justin,Thomas,22.46,17.94,21.41,"[24.68, 20.66, 19.39, 23.37, 20.19]",24,1
96th,Kayla,James,24.29,20.84,23.11,"[23.17, 24.5, 21.64, 22.02, 24.14]",24,1
97th,Haley,Ryan,23.86,18.79,23.71,"[20.71, 26.02, 23.75, 'DNF', 21.35]",24,1
98th,James,Johnston,24.27,19.84,23.7,"[23.01, 23.43, 25.23, 24.67, 19.84]",25,0
99th,James,Howard,22.38,17.76,20.86,"[20.07, 20.35, 19.98, 22.17, 23.33]",54,1
100th,Michael,Lee,24.85,21.93,23.69,"[28.26, 24.26, 21.93, 23.27, 23.53]",25,0
101st,David,Cook,24.82,20.27,22.61,"[21.61, 22.79, 26.78, 23.44, 20.27]",25,0
102nd,Donald,Levy,23.24,19.85,22.07,"[20.96, 24.12, 22.26, 20.99, 22.95]",40,0
103rd,Nathaniel,Vargas,25.22,21.16,23.67,"[23.07, 21.16, 28.52, 26.58, 21.36]",25,0
104th,Felicia,Martinez,23.74,19.95,22.15,"[21.51, 23.12, 24.82, 21.31, 21.81]",25,0
105th,Matthew,Mendoza,24.62,20.37,23.66,"[21.29, 20.71, 25.61, 25.13, 24.55]",25,0
106th,Karen,Flores,26.11,21.54,23.64,"[24.99, 22.06, 21.54, 23.88, 25.7]",25,0
107th,Jade,Berg,24.22,20.09,21.22,"[20.8, 20.11, 20.09, 26.55, 22.74]",25,0
108th,Alexander,Stewart,23.87,18.87,22.67,"[18.87, 23.37, 23.24, 25.8, 21.41]",24,1
109th,Bonnie,Barrett,24.97,21.69,22.73,"[22.56, 21.69, 25.99, 23.64, 21.99]",25,0
110th,Justin,Johnson,23.58,19.73,22.21,"[21.55, 21.33, 23.74, 24.48, 19.73]",25,0
111th,Regina,Erickson,23.27,18.5,22.47,"[24.96, 21.29, 22.71, 18.5, 23.4]",39,1
112th,Andrew,Bradford,21.78,18.29,20.37,"[20.72, 19.8, 22.08, 20.6, 19.57]",49,1
113th,Kyle,Bailey,23.98,19.79,22.13,"[22.21, 21.98, 21.43, 22.21, 24.41]",35,0
114th,Cynthia,Silva,23.28,19.21,22.8,"[23.85, 19.21, 24.8, 19.76, 25.05]",25,0
115th,James,Miller,24.3,21.42,23.39,"[25.36, 21.42, 23.46, 24.57, 22.13]",24,1
116th,Elizabeth,Johnson,24.89,19.65,22.12,"[22.11, 23.04, 23.18, 20.39, 21.22]",25,0
117th,Juan,Davis,23.72,18.33,22.85,"[19.29, 23.54, 25.71, 18.33, 26.6]",24,1
118th,Susan,Cox,23.32,20.63,22.86,"[25.57, 20.63, 21.01, 'DNF', 22.0]",24,1
119th,Danielle,Knapp,23.87,20.99,22.45,"[20.99, 22.27, 24.08, 24.57, 21.0]",33,2
120th,Michelle,Evans,23.59,18.13,22.4,"[21.4, 21.77, 23.65, 21.79, 27.47]",34,1
121st,Kristen,Williams,23.47,18.45,23.0,"[22.47, 21.14, 28.22, 21.94, 24.6]",25,0
122nd,Charles,Wright,23.27,17.51,22.34,"[19.49, 22.67, 24.06, 24.28, 20.28]",35,0
123rd,Carlos,Thompson,23.82,19.74,23.01,"[19.74, 23.63, 21.91, 25.32, 23.48]",24,1
124th,Rebekah,Williams,23.73,19.54,23.01,"[24.89, 26.11, 23.77, 20.37, 19.83]",22,3
125th,Steven,Martinez,24.52,21.02,23.02,"[23.08, 22.19, 25.01, 21.02, 23.79]",25,0
126th,Jared,Preston,23.27,20.24,21.67,"[22.08, 21.6, 23.35, 21.32, 21.28]",34,1
127th,Austin,Carpenter,24.16,19.5,23.09,"[22.29, 20.98, 25.61, 23.6, 23.37]",23,2
128th,Ryan,Clark,24.15,19.95,21.74,"[21.8, 19.95, 23.77, 20.21, 23.22]",25,0
129th,Sheila,Johnson,22.81,18.89,23.12,"[18.89, 'DNF', 24.57, 22.63, 22.16]",13,2
130th,Kirsten,Mendoza,24.11,21.22,23.31,"[26.16, 21.22, 23.29, 22.15, 24.48]",15,0
131st,Jennifer,Brown,24.09,22.26,23.54,"[22.89, 23.06, 24.66, 22.26, 25.85]",15,0
132nd,Joel,Morris,23.24,20.43,22.67,"[22.58, 24.27, 22.93, 22.5, 20.43]",15,0
133rd,Regina,Cook,23.89,19.9,23.72,"[25.2, 21.9, 23.33, 23.78, 24.04]",14,1
134th,Elizabeth,Taylor,23.77,19.48,22.64,"[19.48, 22.3, 24.54, 23.42, 22.21]",25,0
135th,Jessica,Wallace,24.51,23.16,23.8,"[24.37, 23.18, 23.78, 26.62, 23.24]",15,0
136th,David,Clarke,24.03,20.65,23.18,"[22.36, 22.2, 28.28, 24.98, 20.96]",15,0
137th,Gabrielle,Brock,24.13,20.66,23.59,"[23.94, 26.08, 22.27, 20.66, 24.55]",15,0
138th,Jennifer,Lewis,24.49,21.62,23.85,"[24.93, 22.61, 22.34, 25.1, 24.02]",14,1
139th,Ian,Campbell,24.19,21.22,22.27,"[23.04, 22.93, 21.75, 22.14, 21.22]",25,0
140th,Mark,Williams,22.42,18.47,21.28,"[21.72, 21.76, 24.38, 18.47, 20.35]",28,2
141st,Traci,Cox,23.57,20.05,22.43,"[21.67, 23.15, 20.05, 22.94, 22.68]",25,0
142nd,Jared,Hahn,23.86,20.42,23.76,"[23.11, 25.89, 22.27, 21.47, 27.08]",15,0
143rd,Devon,Fisher,24.56,20.56,22.65,"[22.31, 21.28, 21.39, 24.26, 25.29]",25,0
144th,Kathleen,Ward,24.55,21.59,23.92,"[26.1, 21.59, 24.67, 22.4, 24.69]",15,0
145th,Aaron,Maxwell,24.73,21.66,23.92,"[25.91, 24.74, 21.78, 22.43, 24.59]",15,0
146th,Keith,Mosley,23.91,21.25,23.77,"[23.82, 24.79, 23.81, 23.67, 23.45]",15,0
147th,Nicole,Thompson,24.08,21.37,22.75,"[26.25, 22.53, 23.56, 22.15, 21.86]",15,0
148th,James,Horne,23.57,20.65,23.45,"[22.04, 24.06, 20.65, 26.01, 24.26]",14,1
149th,Adam,Baker,24.32,21.25,23.86,"[24.39, 24.25, 21.25, 27.54, 22.93]",15,0
150th,Cody,Jenkins,24.93,18.06,23.82,"[20.56, 21.84, 24.37, 26.32, 25.26]",15,0
151st,Rebecca,Palmer,25.43,22.29,24.06,"[23.76, 24.49, 23.94, 26.83, 23.64]",15,0
152nd,Sarah,Riggs,24.1,20.03,23.28,"[27.31, 21.32, 21.21, 27.96, 20.03]",15,0
153rd,Anita,Butler,24.9,22.88,24.11,"[23.01, 24.23, 22.88, 25.63, 25.09]",15,0
154th,Marcus,Nguyen,24.65,22.15,24.12,"[22.19, 23.43, 24.85, 24.34, 24.58]",15,0
155th,Nicole,Young,22.96,18.91,20.82,"[20.7, 18.91, 22.04, 20.9, 20.85]",24,1
156th,April,Williams,24.28,21.56,24.15,"[23.86, 25.45, 21.56, 27.71, 23.13]",15,0
157th,Thomas,Dalton,24.26,22.11,23.55,"['DNF', 22.11, 22.51, 25.15, 23.0]",14,1
158th,Rachel,Ramsey,24.52,19.4,24.16,"[24.5, 24.13, 23.84, 21.6, 28.07]",15,0
159th,Sonya,Michael,24.08,20.28,24.11,"[23.64, 21.65, 26.09, 26.16, 22.6]",15,0
160th,Christine,Moran,24.41,20.56,24.03,"[22.09, 27.38, 23.86, 24.79, 23.44]",14,1
161st,Paul,Potter,23.81,21.68,23.44,"[24.88, 23.26, 23.76, 23.3, 22.59]",15,0
162nd,Carol,Riley,24.06,19.11,22.1,"[26.83, 22.52, 21.91, 19.11, 21.86]",25,0
163rd,Belinda,Carter,24.19,22.16,24.01,"[22.39, 27.16, 25.73, 23.04, 23.27]",14,1
164th,Kimberly,Wade,24.44,21.15,23.95,"[24.18, 21.15, 24.68, 24.96, 22.99]",15,0
165th,Roberto,Parsons,23.71,19.0,23.12,"[22.96, 21.09, 22.6, 24.01, 23.8]",15,0
166th,John,Tucker,25.03,21.85,24.24,"[23.35, 24.74, 24.35, 23.63, 25.82]",15,0
167th,Gary,Le,24.86,23.08,24.24,"[24.04, 23.8, 24.88, 26.18, 23.19]",15,0
168th,Chelsea,Castillo,24.78,21.76,24.25,"[23.17, 23.9, 21.76, 25.68, 26.32]",15,0
169th,Ronald,Ward,24.37,21.55,23.85,"[26.32, 21.55, 24.14, 22.83, 24.59]",15,0
170th,Alicia,Graham,24.48,23.0,23.95,"[24.07, 23.99, 23.78, 25.42, 23.0]",15,0
171st,Anthony,Elliott,25.11,23.61,24.3,"[24.77, 24.28, 23.79, 27.67, 23.84]",15,0
172nd,Lindsay,Harris,25.92,21.78,24.31,"[22.48, 21.78, 25.16, 26.16, 25.29]",15,0
173rd,Tonya,Molina,25.48,23.11,24.33,"[25.61, 23.79, 23.58, 29.47, 23.11]",15,0
174th,Gerald,Crane,26.01,21.04,24.33,"[22.93, 24.74, 21.04, 25.31, 27.34]",15,0
175th,Brittany,Duffy,24.14,20.91,22.22,"[21.3, 24.02, 21.33, 27.73, 20.91]",27,3
176th,Jeffrey,Turner,24.9,20.97,24.34,"[20.97, 23.3, 25.22, 25.9, 24.51]",15,0
177th,Debra,Martin,25.15,21.55,24.35,"[24.52, 24.02, 21.55, 24.51, 26.64]",15,0
178th,Mariah,Bowers,25.17,22.98,24.39,"[23.85, 24.75, 25.41, 24.56, 23.26]",15,0
179th,Daniel,Wade,23.83,19.63,23.77,"[23.19, 23.49, 24.19, 23.62, 25.34]",15,0
180th,Kelly,Knight,24.81,21.77,23.53,"[23.18, 21.77, 22.54, 24.86, 26.7]",15,0
181st,Joseph,Harmon,25.25,22.24,24.45,"[24.99, 24.48, 24.4, 24.47, 23.52]",15,0
182nd,David,Hamilton,23.87,21.78,23.38,"[22.37, 23.56, 24.16, 23.61, 22.96]",15,0
183rd,Kristi,Reeves,24.96,21.68,23.86,"[26.43, 22.03, 24.8, 24.6, 22.17]",15,0
184th,Michael,Rodgers,23.81,19.49,22.16,"[26.21, 22.65, 20.29, 19.49, 23.54]",25,0
185th,Krystal,Kane,24.5,19.49,22.84,"[24.14, 24.88, 21.31, 19.49, 23.06]",15,0
186th,Heather,Soto,23.59,18.93,23.18,"[20.2, 24.57, 18.93, 24.78, 25.14]",14,1
187th,Matthew,Jefferson,24.72,21.63,23.94,"[28.14, 24.63, 23.78, 23.42, 21.63]",15,0
188th,Robert,Sims,24.63,21.08,24.22,"[22.89, 27.45, 25.7, 22.63, 24.08]",15,0
189th,Stephanie,Ward,24.71,21.57,23.95,"[24.66, 27.64, 21.57, 25.58, 21.61]",15,0
190th,Jennifer,Fuller,25.42,21.09,24.54,"[25.35, 23.41, 25.93, 24.87, 21.72]",15,0
191st,Keith,Henderson,24.29,21.67,24.07,"[24.78, 21.67, 25.46, 22.89, 24.54]",15,0
192nd,Andrew,Gonzalez,25.23,22.07,24.56,"[26.07, 26.0, 23.54, 22.07, 24.13]",14,1
193rd,Tyler,Jennings,24.54,20.08,23.1,"[24.43, 23.69, 22.16, 23.36, 22.26]",15,0
194th,Darren,Frazier,25.53,23.08,24.6,"[25.95, 23.52, 23.08, 26.04, 24.32]",14,1
195th,Renee,Rogers,26.14,20.91,24.62,"[24.63, 20.91, 24.9, 24.34, 27.64]",14,1
196th,Wendy,Herrera,23.5,16.17,22.45,"['DNF', 21.2, 21.73, 22.09, 23.53]",24,1
197th,Joseph,Morton,24.76,20.33,24.15,"[24.94, 27.28, 20.33, 20.91, 26.61]",15,0
198th,Christina,Marshall,25.24,22.56,24.66,"[22.84, 24.58, 28.0, 25.13, 24.26]",15,0
199th,Chad,Fisher,24.38,21.57,24.34,"[25.32, 21.57, 23.89, 25.08, 24.05]",15,0
200th,Sarah,Mendoza,25.14,22.88,24.68,"[23.94, 26.5, 24.2, 23.99, 25.86]",15,0
201st,Lori,Sutton,25.62,21.93,24.68,"[24.14, 25.27, 24.35, 33.32, 24.43]",15,0
202nd,Christina,Lee,23.47,19.78,23.3,"[24.38, 25.71, 24.4, 19.78, 21.13]",14,1
203rd,David,Garcia,25.14,22.96,24.69,"[24.66, 22.96, 26.43, 22.99, 'DNF']",14,1
204th,Paula,Mcgee,25.52,20.88,24.69,"[25.66, 24.08, 25.45, 20.88, 24.53]",15,0
205th,Rebecca,Gonzalez,25.61,23.17,24.71,"[27.62, 23.17, 24.74, 24.42, 24.97]",15,0
206th,Shelby,Contreras,24.35,19.06,24.75,"[20.1, 24.03, 26.28, 27.32, 23.94]",15,0
207th,Jennifer,Horne,25.07,22.5,24.78,"[25.83, 25.27, 24.06, 24.55, 24.51]",15,0
208th,Brian,Daniel,24.72,20.41,22.52,"[23.57, 26.19, 20.91, 20.93, 23.06]",25,0
209th,Anna,Charles,25.0,18.92,24.83,"[23.81, 26.19, 24.44, 23.85, 'DNF']",14,1
210th,Christina,Kelly,24.31,21.85,23.44,"[22.24, 22.68, 23.22, 24.71, 24.43]",15,0
211th,Wendy,Reyes,25.05,20.52,24.69,"[21.18, 26.95, 20.52, 26.4, 26.5]",15,0
212th,Corey,Smith,24.32,22.17,24.05,"[24.99, 25.5, 22.83, 23.45, 23.71]",15,0
213th,James,Stanton,25.22,23.53,24.81,"[25.91, 24.1, 26.3, 24.43, 23.66]",15,0
214th,Gregory,Hood,23.92,19.37,21.8,"[20.95, 21.16, 28.24, 21.33, 22.91]",25,0
215th,Jonathan,Howe,25.92,22.57,24.93,"[27.23, 24.91, 25.22, 24.67, 23.56]",15,0
216th,John,Tran,24.41,18.91,23.77,"[21.71, 24.42, 18.91, 28.16, 25.17]",15,0
217th,Anthony,Smith,24.09,21.85,23.4,"[25.19, 23.99, 22.36, 22.86, 23.34]",14,1
218th,Hailey,Woods,24.64,22.49,23.96,"[25.34, 22.49, 24.27, 22.93, 24.67]",14,1
219th,Heidi,Grant,24.54,20.53,24.0,"[22.23, 28.26, 22.05, 24.94, 24.84]",15,0
220th,George,Mcguire,24.61,21.18,24.35,"[25.86, 23.0, 26.99, 23.17, 24.01]",15,0
221st,Robert,Blanchard,25.56,22.61,25.03,"[26.65, 23.62, 24.75, 27.79, 23.68]",15,0
222nd,Beth,Barry,25.01,20.25,24.21,"[20.25, 23.97, 29.63, 22.89, 25.76]",15,0
223rd,Benjamin,Bowen,25.4,22.53,24.62,"[23.32, 24.42, 25.55, 28.83, 23.89]",15,0
224th,Rebecca,Brown,23.91,19.63,21.36,"[23.2, 20.1, 23.0, 19.63, 20.99]",25,0
225th,Kimberly,Sawyer,25.14,20.77,24.98,"[24.82, 25.28, 26.74, 24.84, 21.83]",15,0
226th,Jordan,Chavez,25.11,22.99,25.01,"[22.99, 26.67, 24.01, 24.35, 'DNF']",13,2
227th,Marissa,Scott,23.79,20.66,23.71,"[24.55, 22.12, 20.77, 25.06, 24.47]",14,1
228th,Kimberly,Martin,25.4,22.35,25.14,"[25.91, 25.15, 27.65, 22.44, 24.37]",15,0
229th,Kathleen,Nguyen,25.06,21.29,25.06,"[21.42, 23.78, 25.55, 27.42, 25.85]",14,1
230th,Brittany,Obrien,24.53,20.22,23.98,"[22.43, 23.86, 25.41, 24.06, 24.03]",14,1
231st,Jeff,Miller,25.36,21.53,24.07,"[26.22, 30.66, 21.57, 21.53, 24.43]",15,0
232nd,Ana,Mitchell,26.2,23.37,25.21,"[29.71, 24.35, 23.37, 25.38, 25.9]",15,0
233rd,Thomas,Gardner,24.7,21.68,23.79,"[25.57, 24.45, 24.2, 22.72, 22.65]",15,0
234th,Laurie,Palmer,24.27,20.8,23.42,"[24.48, 20.8, 23.89, 23.17, 23.19]",15,0
235th,Rickey,Murphy,25.77,22.29,25.25,"[22.6, 29.97, 25.68, 26.06, 24.02]",14,1
236th,Elizabeth,Henson,25.33,22.66,23.83,"[24.59, 22.67, 24.01, 26.82, 22.88]",15,0
237th,Ashley,Hamilton,24.72,19.92,22.34,"[19.92, 25.24, 23.16, 21.47, 22.38]",25,0
238th,Kenneth,Barton,23.93,18.36,23.42,"[24.44, 22.49, 23.34, 18.36, 24.42]",14,1
239th,Christina,Smith,25.02,21.9,24.82,"[30.47, 24.92, 23.28, 21.96, 26.25]",15,0
240th,Amanda,Scott,24.67,20.64,24.83,"[21.81, 27.35, 24.04, 23.49, 26.96]",15,0
241st,Barry,Lewis,25.33,22.86,24.64,"[24.37, 25.16, 24.69, 24.85, 23.48]",15,0
242nd,David,Mcgee,25.01,21.06,24.5,"[21.06, 22.66, 26.86, 24.02, 26.82]",15,0
243rd,Mark,Thomas,26.12,20.12,25.33,"[26.18, 25.17, 24.13, 24.64, 27.57]",15,0
244th,Nicole,Hendricks,24.91,21.65,24.73,"[26.07, 26.18, 21.65, 25.61, 22.52]",15,0
245th,Patricia,Ross,24.32,21.46,22.91,"[21.46, 24.19, 21.85, 25.45, 22.7]",13,2
246th,Tyler,Roach,25.69,21.95,25.37,"[23.58, 27.07, 25.45, 27.76, 21.95]",15,0
247th,Jennifer,Mcintyre,24.27,20.68,23.31,"[24.27, 20.68, 24.19, 25.32, 21.47]",14,1
248th,Samantha,Smith,24.87,20.38,24.6,"[21.8, 25.79, 27.28, 25.54, 22.46]",15,0
